episode_id,status,peak_index,trough_index,end_index,recovery_index,peak_time,trough_time,recovery_time,end_time,peak_value,trough_value,recovery_value,end_value,depth_money,depth_percent,duration_days,duration_periods,depth_percentile,depth_tail_rarity_percent,depth_ordinal_rank,duration_percentile,duration_tail_rarity_percent,duration_ordinal_rank
22,completed,85,86,87,87,2022-03-28T15:00:00,2022-04-01T09:00:00,2022-04-19T03:00:00,2022-04-19T03:00:00,109105.00000000001,108744.95000000001,109190.00000000001,109190.00000000001,360.0500000000029,0.33000320791897975,21.5,2,38.88888888888889,61.111111111111114,14.0,68.05555555555556,30.555555555555557,24.5
23,completed,88,90,91,91,2022-04-21T21:00:00,2022-04-28T09:00:00,2022-05-03T03:00:00,2022-05-03T03:00:00,109620.00000000001,109219.89000000001,109730.00000000001,109730.00000000001,400.1100000000006,0.3649972632731258,11.25,3,47.22222222222222,52.77777777777778,17.0,19.444444444444446,80.55555555555556,7.0
24,completed,92,95,96,96,2022-05-06T21:00:00,2022-05-22T03:00:00,2022-05-31T21:00:00,2022-05-31T21:00:00,110195.00000000001,109313.44000000002,110330.00000000001,110330.00000000001,881.5599999999977,0.7999999999999977,25.0,4,97.22222222222221,2.7777777777777777,35.0,83.33333333333334,16.666666666666664,30.0
25,completed,97,98,99,99,2022-06-02T15:00:00,2022-06-04T09:00:00,2022-06-19T03:00:00,2022-06-19T03:00:00,110570.00000000001,110061.38000000002,110730.00000000001,110730.00000000001,508.61999999999534,0.45999819119109636,16.5,2,72.22222222222221,27.77777777777778,26.0,37.5,61.111111111111114,13.5
26,completed,100,102,103,103,2022-06-21T21:00:00,2022-07-02T09:00:00,2022-07-22T03:00:00,2022-07-22T03:00:00,111005.00000000001,110455.53000000001,111065.00000000001,111065.00000000001,549.4700000000012,0.4949957209134733,30.25,3,83.33333333333334,16.666666666666664,30.0,91.66666666666666,8.333333333333332,33.0
27,completed,104,107,108,108,2022-07-25T21:00:00,2022-08-05T03:00:00,2022-08-11T21:00:00,2022-08-11T21:00:00,111375.00000000001,110784.71,111460.0,111460.0,590.2900000000081,0.5300022446689187,17.0,4,91.66666666666666,8.333333333333332,33.0,43.05555555555556,55.55555555555556,15.5
28,completed,109,110,111,111,2022-08-13T15:00:00,2022-08-17T09:00:00,2022-08-29T03:00:00,2022-08-29T03:00:00,111805.0,111525.49,111915.0,111915.0,279.50999999999476,0.24999776396403983,15.5,2,16.666666666666664,83.33333333333334,6.0,29.166666666666668,69.44444444444444,10.5
29,completed,112,114,115,115,2022-08-31T21:00:00,2022-09-04T09:00:00,2022-09-21T03:00:00,2022-09-21T03:00:00,112295.0,111974.95999999999,112429.99999999999,112429.99999999999,320.04000000000815,0.28499933211630807,20.25,3,25.0,75.0,9.0,59.72222222222222,38.88888888888889,21.5
30,completed,116,119,120,120,2022-09-24T21:00:00,2022-10-11T03:00:00,2022-10-14T21:00:00,2022-10-14T21:00:00,112844.99999999999,112483.89999999998,113004.99999999999,113004.99999999999,361.1000000000058,0.3199964553148176,20.0,4,33.33333333333333,66.66666666666666,12.0,54.166666666666664,44.44444444444444,19.5
31,completed,121,122,123,123,2022-10-16T15:00:00,2022-10-18T09:00:00,2022-10-27T03:00:00,2022-10-27T03:00:00,113454.99999999999,113052.22999999998,113514.99999999999,113514.99999999999,402.7700000000041,0.355004186681948,10.5,2,44.44444444444444,55.55555555555556,16.0,15.277777777777779,83.33333333333334,5.5
32,completed,124,126,127,127,2022-10-29T21:00:00,2022-11-06T09:00:00,2022-11-20T03:00:00,2022-11-20T03:00:00,113999.99999999999,113555.39999999998,114084.99999999999,114084.99999999999,444.6000000000058,0.3900000000000051,21.25,3,55.55555555555556,44.44444444444444,20.0,63.888888888888886,36.11111111111111,23.0
33,completed,128,131,132,132,2022-11-23T21:00:00,2022-12-12T03:00:00,2022-12-30T21:00:00,2022-12-30T21:00:00,114344.99999999999,113859.02999999998,114454.99999999999,114454.99999999999,485.97000000000116,0.4250032795487351,37.0,4,63.888888888888886,36.11111111111111,23.0,100.0,0.0,36.0
34,completed,133,134,135,135,2023-01-01T15:00:00,2023-01-05T09:00:00,2023-01-11T03:00:00,2023-01-11T03:00:00,114749.99999999999,114222.14999999998,114884.99999999999,114884.99999999999,527.8500000000058,0.4600000000000051,9.5,2,75.0,25.0,27.0,9.722222222222223,88.88888888888889,3.5
35,completed,136,138,139,139,2023-01-13T21:00:00,2023-01-21T09:00:00,2023-02-01T03:00:00,2023-02-01T03:00:00,115214.99999999999,114183.82999999999,115374.99999999999,115374.99999999999,1031.1699999999983,0.8949963112441943,18.25,3,100.0,0.0,36.0,50.0,50.0,18.0
36,completed,140,143,144,144,2023-02-04T21:00:00,2023-02-12T03:00:00,2023-02-27T21:00:00,2023-02-27T21:00:00,115739.99999999999,115126.58,115800.0,115800.0,613.4199999999837,0.5299982719889267,23.0,4,88.88888888888889,11.11111111111111,32.0,77.77777777777779,22.22222222222222,28.0
